word,cefr
a,A1
a.m./A.M./am/AM,A1
abandon,B1
abandoned,B2
ability,A2
able,B1
abnormal,B1
abnormally,B2
aboard,B1
abolish,B2
aboriginal,B2
aborigine,B1
about,A1
about,A1
above,B1
above,A1
above,A1
abroad,A2
abruptly,B2
absence,B1
absent,B1
absentee,B2
absolute,B1
absolutely,B1
absorb,B1
abstract,B1
absurd,B2
abundance,B1
abundant,B1
abuse,B2
academic,B1
academy,B1
accent,B1
accept,A2
acceptable,A2
acceptance,B1
access,B1
access,B2
accessibility,B2
accessible,B1
accessory,B1
accident,A2
accidental,B1
accidentally,B1
accommodation,B2
accompany,B1
accomplish,B1
according to,B1
accordingly,B2
account,A2
account,B1
accountant,B1
accumulate,B2
accuracy,B1
accurate,B1
accurately,B1
accusation,B2
accuse,B1
accustom,B1
ache,B1
ache,B2
achievable,B2
achieve,A2
achievement,B1
acid,B2
acknowledge,B1
acknowledgment/acknowledgement,B1
acquaintance,B1
acquire,B1
acquisition,B2
across,A2
across,A2
act,A2
act,B1
action,A1
active,B1
actively,B2
activity,A1
actor,A1
actress,B1
actual,B2
actually,A2
acute,B2
ad,B1
adapt,B1
adaptable,B2
add,A1
addict,B2
addicted,B2
addiction,B2
addition,A2
additional,A2
additionally,B2
address,A1
address,B1
addressee,B1
adequate,B2
adequately,B2
adjective,A2
adjust,A2
adjustment,B2
administration,B1
administrative,B2
admirable,B2
admiration,B1
admire,A2
admiringly,B2
admission,B1
admit,A2
admittedly,B2
adopt,B1
adopted,B2
adoption,B2
adorable,B1
adore,B2
adorn,B2
adult,A2
adult,A2
advance,B2
advance,B1
advanced,A2
advancement,B2
advantage,A2
advent,B2
adventure,A2
adventurous,B2
adverb,B1
adverbial,B1
adverse,B2
adversely,B2
adversity,B2
advert,B1
advertise,B1
advertisement,A2
advertising,A2
advice,A2
advise,A2
adviser/advisor,B1
aerobics,B1
affair,A2
affect,B1
affection,B1
affectionate,B2
affectionately,B2
afford,B1
affordable,B2
afraid,A1
after,A2
after,B1
after,A1
afternoon,A1
afterward,B1
afterwards,B1
again,A1
against,A2
age,A1
aged,A2
ageless,B2
agency,A2
agenda,B1
agent,A2
aggressive,B1
aggressively,B2
ago,A1
agonize/agonise,B2
agony,B2
agree,A1
agreement,B1
agricultural,B1
agriculture,B1
ahead,A2
aid,B1
aid,B1
aim,B1
aim,B2
air,A2
air conditioning,B1
air force,B1
aircraft,B2
aircrew,B2
airline,B1
airplane/aeroplane,A1
airport,A1
aisle,A2
alarm,A2
alarm,B1
alarm clock,A2
album,A1
alcohol,B1
alcoholic,B1
alcoholic,B2
alcoholism,B2
alert,B2
alike,B1
alike,B1
alive,A2
all,A2
all,A1
all,A1
all right,A1
all right,A1
allegation,B2
allergic,B1
alliance,B2
allow,A2
allowance,B1
ally,B2
almost,A1
alone,A2
alone,A1
along,A1
along,A2
alongside,B2
aloud,B1
alphabet,B1
alphabetical,B2
already,A1
alright,A2
alright,A2
also,A1
altar,B2
alter,B2
alternate,B2
alternative,B1
alternative,B1
alternatively,B2
although,A2
altitude,B2
altogether,B1
aluminum/aluminium,B2
always,A1
